iteration,duration,loss,accuracy,start,game,winner
98,50.897,0.5782749337337546,0.5629244602951777,[1 7],7114477440011222200003344332255775533882266558888666644668833005511667766113333555544887733628855227700777782110084223440402,1
99,51.026,0.9975967712491386,0.3835603445005122,[1 8],8114422220044882244000055113333887733777755776633666655664411002288001111661177003355008888555533115588330866778455452,2
100,45.414,1.5021089067314186,0.40492089388018365,[2 0],0003333117777223355115522778855444411888877004488660066662266881166443344665577440088005533002833237828450676355585661,-1
101,53.712,1.2070117796686202,0.34742193724627235,[2 1],111552288335500003300881144224455112277337711887722220011666677002266888800447788223333886633661177444482531070534066064656232,-1
102,44.574,0.8589386762482581,0.5619949159616041,[2 2],20066660044446611114400882233331155885511337777553366770022448888778866227711774422112255441100005555003388445528034,1
103,49.685,0.588498978016109,0.5639298857988391,[2 3],32211003300664466335544552255881144886611888877885577773388333344440055553366774477556622666600220002742222482658068,1
104,50.129,1.4716712701994763,0.54755852335243,[2 4],42288448833223366003377007744771111886666110011555566552255330044116622220000881144557733440022777722651170558855044548082,2
105,44.533,0.5942557622564056,0.5638160640437075,[2 5],522660033663388550000884466773377774455448822110011112288116655778866661155664477555533335511331144443344122,1
106,44.579,0.560975244586901,0.5639678263838829,[2 6],6225533006655112211008866443388003344557788447777331177554400115588227711444422224466770055550077660041136633572,1
107,46.862,0.5609792753220182,0.5639867966764047,[2 7],7221144007711000044445511332255333377556633668866118888228855777700660022338811774477880035220055884482446666750,1
108,52.741,1.5262168229969975,0.5638919452137952,[2 8],88833334422004488664466002211661155005533771177775522773300881144556677223366663388224433531122507744726688440011006322203,2
109,46.427,1.5393353264759673,0.5632659255605721,[3 0],033666655445500667700777711334444111155882233228811888877226622000088553377660011661144774400443311263055556755273,2
110,55.193,0.9654265922485492,0.3858557498956634,[3 1],1337788881155117755558800774433006666440044668822662222445577112200336611114411885544777700550000135566772288784422734444821526532,2
111,61.981,0.5838815333162792,0.3825169784118071,[3 2],233002244008833446688226644777766770077118811116655551155885544336622001177335522113388660033331122888800550000666634557488727844453611422,2
