episode,loss,game
56,4.049809862096766,4666600008811772277115511333355007766556611663388552288662211110033220022514444547788006411222
57,4.042229163712745,87733771177226666000088115511665533331111225555003344332200228855445788663356223677774400776611006188014468442222127702444888283
58,4.035535789229233,48888666600882266227755117777223355778875000075337655444433331122885588111100332200445144768833442211336611624
59,4.028751241619689,38888660000881177227711551133553311116655661122110033228800114444552200225555443855770055024418783474662424048
60,4.021203080239657,388886600008822666622771177223355337755113333111122885500116633221100334455443522520044222244414838778840580
61,4.0140918234968535,4448866008822666622771177775577223355000077665533331122885544332255221111001166445566334788336611403388006688773307420
62,4.007660386319666,255775511772266662277770000882233553333776655007733112200663322885555445566110011164433447788304
63,4.000894728031211,3444400008811776600772266551166220022227711555533221111225522885544556633667788661100357700443588005500668831446644142488747848288
64,3.9949115925249563,8666600008822665511771155337700776611333311663388111122110055662288555522554455001144334442436643220033557777880022284885806047473
65,3.9882425505722785,5771177226666000088115533113355665522007766112211116633334455443366442255558855003388662244414288006300227700122
66,3.9821518121875883,60000882266551177662277115533337700773311661111221144443344552255663366768855554488001100664463887322005573002244728860318811304
67,3.9763355639353195,4448866008822666622771177772233557788775500007655333311228855443322556611110011663344503688005066442206788
68,3.9708998445300727,622227711772266660000775511665533550011115566112211003322885454334467444424148
69,3.9657970706495047,422226666227711772200007755113377770088223333221111244433553344555500116611003366004411440025778888658855406
70,3.9595509494167493,6662277117722335577778877443377665500008855333311551133220077002288334411116633661122554455221100667144442222446644703
