iteration,duration,loss,accuracy,start,game,winner
17,100.481,1.4460840193542275,0.5639867966764047,[1, 7],74400552200886622336688445577331188001122663300333344443355000044664477667755448833887788558811006655337711441155116880255,2
18,74.793,0.6941776197189974,0.5639867966764047,[1, 8],82255770033552244337766664400113388880077114422333311661111556655883344774466008877336633206,1
19,77.674,1.418600194277201,0.5639867966764047,[2, 0],07766335588004422881177113344665533667744112255001144331188221155552266664444773333777755448166022,2
20,112.75,1.3944730112497699,0.5639867966764047,[2, 1],133664455002277556677338800115588884466337744007722661111443300557788333355447700441600668855553322881488603344224310800515220232225,-1
21,83.125,0.739367937225256,0.5639867966764047,[2, 2],23300556677441188884477335500115522110066338877558800331166883344220088661111440000446644554488260025312,1
22,99.636,0.6576602776385653,0.5639867966764047,[2, 3],3443311550044667722885588660077111100664455227766880088447777441144442255448833332266337755773303888611336655551186662244056,1
23,81.362,0.635985250487326,0.5639867966764047,[2, 4],4551100883377661133665588007722884400115544227733116666774444888866221144334466005522002255006322641,1
24,88.329,1.437078868390057,0.5639867966764047,[2, 5],5008833667744004411771166228855773333115533884466556600775555110000554433442211113377664444552200118244827,2
25,78.017,1.3997615609687328,0.5639867966764047,[2, 6],6887711445555004466002233881133772288006677334411553300777788885588440011661111221177442222054434866644744,2
26,93.336,0.6700153506713347,0.5639867966764047,[2, 7],744665500553311007722883388116644556666111144441177112211334477667733777788448888008877586688224433336600118850400060302,1
27,82.161,0.6346377168374249,0.5639867966764047,[2, 8],855001133772244667733118866445555884400662233447777666600444422668888002277881155221111448877557710551088320,1
28,71.579,1.434387538248098,0.5639867966764047,[3, 0],044552277661188110066554433778833668822117700558866447722002288884400335577446633332244814,2
29,83.704,0.6313651713522906,0.5639867966764047,[3, 1],155776600224422008877556688441133226644558800553355114433773344777744886677885555228811888826336611117711250,1
30,85.979,0.6190166059759753,0.5639867966764047,[3, 2],2556611334400447788662211887700554488552288110033666600111122771177220022441144558844333377442007331555335504644,1
31,101.101,1.4771799177224216,0.5639867966764047,[3, 3],3005511776688442277226611558800223344771144885522881188887733113388335500003366446633774455441166778866512820844400604,2
